imdb_id,original_title,cn_titles,release_year,summary,genres,directors,scriptwriters,actors,length,douban_average_score,douban_star_rating,number_of_ratings,link
tt000190,万王之王,万王之王,2025,查尔斯·狄更斯（肯尼思·布拉纳 配）给儿子瓦尔特·狄更斯（罗曼·格里芬·戴维斯 配）讲述一个故事，这场最初作为睡前故事的讲述，最终变成了一段改变人生的旅程。通过生动的想象，瓦尔特与耶稣（奥斯卡·伊萨克 配）并肩行走，见证奇迹。,剧情 / 动画 / 西部 / 奇幻,张诚浩,张诚浩 / 罗伯·爱德华兹 / Hoseok Sung / Jamie Thomason,张诚浩,100分钟,6.3,3.15,623,https://www.douban.com/doubanapp/dispatch?uri=/movie/35466485
tt000191,黑道中人,黑道中人,2025,罗伯特·德尼罗饰演两个角色：Vito Genovese和Frank Costello，两个不同的意大利黑道家族的老大，Genovese在1957年试图刺杀Costello，没杀了，但也导致了后者受伤并让出家族老大的位置。,剧情 / 传记 / 历史 / 犯罪,巴瑞·莱文森,尼古拉斯·派勒吉,巴瑞·莱文森,123分钟,6.6,3.3,1816,https://www.douban.com/doubanapp/dispatch?uri=/movie/36065333
tt000192,忍者蝙蝠侠大战极道联盟,忍者蝙蝠侠大战极道联盟,2025,蝙蝠侠与盟友从过去归来仅一天，就发现世界已非离开时的模样。整个日本岛不复存在，正义联盟的英雄们也集体消失。然而他们还没来得及理清头绪，更离奇的变故接踵而至——黑帮成员开始从天上纷纷坠落。,动作 / 动画 / 冒险,水崎淳平 / 高木真司,中岛一基,水崎淳平 高木真司,89分钟,7.5,3.75,3457,https://www.douban.com/doubanapp/dispatch?uri=/movie/36912440
tt000193,玉米地小丑,玉米地小丑,2025,一个日渐衰落的中西部小镇，曾经是成功象征的小丑弗兰多再次出现，并成为恐怖的祸害。,恐怖,艾利·克雷格,卡特·布兰查德 / 艾利·克雷格 / 亚当·切萨雷,艾利·克雷格,96分钟,5.6,2.8,2867,https://www.douban.com/doubanapp/dispatch?uri=/movie/36412909
tt000194,公务员与7个欺诈师,愤怒小队,2024,以徐仁国、秀英、马东锡出演的韩国电视剧《前男友是天才欺诈师~ 38师机动队~》为原作的本作品是认真的公务员和天才欺诈师交织的犯罪娱乐。在税务所工作的熊泽二郎被骗子冰室真琴骗了一大笔钱，故事由此展开。在好友刑警的帮助下找到了冰室的熊泽，为了自己的“某种复仇”和冰室联手。两人召集了一群流氓组成了欺诈师集团愤怒的squid，为了向隐藏逃税的大企业征收未缴纳的10亿日元而行动起来。内野饰演胆小的熊泽，冈田饰演头脑清晰、判断力敏捷的冰室。,剧情 / 犯罪,上田慎一郎,上田慎一郎 / 岩下悠子,上田慎一郎,120分钟,7.1,3.55,2526,https://www.douban.com/doubanapp/dispatch?uri=/movie/36901791
tt000195,刺猬索尼克3,刺猬索尼克3,2024,“超”音速的索尼克（本·施瓦茨 Ben Schwartz 配音）与“超”呆萌的塔尔斯（科琳·欧肖内希 Colleen O'Shaughnessey 配音）和“超”强壮的纳克鲁斯（伊德里斯·艾尔巴 Idris Elba 配音），三人小队再次踏上欢乐冒险！这一次他们将面对前所未有的劲敌——夏特（基努·里维斯 Keanu Reeves 配音），然而索尼克小队与强大的夏特实力相差悬殊，为了解决这个棘手的神秘敌人，索尼克找到了老对手蛋头博士（金·凯瑞 Jim Carrey 饰）联手阻止夏特，关于夏特的秘密也逐渐浮出水面，这场危机背后还有更狡猾的黑手。索尼克小队能否团结一致击败夏特并拯救世界？,喜剧 / 动作 / 科幻 / 动画,杰夫·福勒,帕特里克·凯西 / 乔什·米勒 / 约翰·惠廷顿,杰夫·福勒,111分钟,6.2,3.1,11041,https://www.douban.com/doubanapp/dispatch?uri=/movie/35771832
tt000196,极寒潜袭,极寒潜袭,2025,一艘俄罗斯导弹潜艇在格陵兰海执行秘密任务时失踪，不知所踪。北方舰队最年轻的司令维克托·沃罗宁前去搜寻，他的哥哥正是这艘失踪巡洋舰的指挥官。与此同时，由于极地站被毁，一头怪物出现在北方海域。,动作 / 科幻 / 悬疑,尼古拉·列别捷夫,阿列克赛·西多洛夫,尼古拉·列别捷夫,134分钟,5.9,2.95,1215,https://www.douban.com/doubanapp/dispatch?uri=/movie/37212933
tt000197,高尔夫球也疯狂2,高尔夫球也疯狂2,2025,续集将讲述他从一名弃将变成高尔夫球手的故事，他参加了一场高级高尔夫巡回赛。,喜剧 / 运动,凯尔·纽瓦切克,提姆·赫利希 / 亚当·桑德勒,凯尔·纽瓦切克,114分钟,6.3,3.15,1348,https://www.douban.com/doubanapp/dispatch?uri=/movie/36826096
tt000198,新干线惊爆倒数,新干线惊爆倒数,2025,"千万不能停下来……
新干线行控中心响起了一通紧急电话，来电者声称已在开往东京的隼60号列车上放置炸弹，更开出1000亿日元的天价赎金，否则列车时速低于100公里便会引爆，顿时将铁路人员推向与死神赛跑的危急边缘。隼60号于铁道上呼啸前进，最后会化险为夷，或者驶向毁灭？
影片翻拍自1975年的电影《新干线爆炸案》。",剧情 / 动作 / 惊悚 / 犯罪,樋口真嗣,中川和博 / 大庭功睦,樋口真嗣,134分钟,6.7,3.35,8734,https://www.douban.com/doubanapp/dispatch?uri=/movie/36802241
tt000199,熊猫计划,熊猫计划,2024,超萌超可爱的熊猫幼崽呼呼被国际功夫巨星Jackie（成龙 饰）认养，满心期待开启新生活。然而，呼呼独有的“大小眼”特别基因却被国际犯罪组织盯上了，组织首领不惜悬赏雇佣兵一亿美金发起了一场熊猫抢夺战。面对突如其来的危机，新晋奶爸Jackie怎能袖手旁观？他联手金牌经纪人（魏翔 饰）与熊猫保育员（史策 饰）全力展开营救！万万没想到……这群反派好像不太聪明，一场惊险刺激却又荒诞可笑的守“呼”行动就此开启。,喜剧 / 动作,张栾,孟易达 / 徐伟 / 张栾,张栾,99分钟,5.5,2.75,37462,https://www.douban.com/doubanapp/dispatch?uri=/movie/36441385
tt000200,电影版,外科医生大门未知子,2024,本片讲述了“不会失败的派遣外科医生”大门未知子是如何诞生的。大门未知子诞生的秘密，以及她壮烈的半生都将一一揭晓，可以说是系列剧的“第零集”。,剧情,田村直己,中园美保,田村直己,128分钟,7.0,3.5,1489,https://www.douban.com/doubanapp/dispatch?uri=/movie/36357969
tt000201,冲·撞,冲·撞,2025,号称“朝天门博尔特”的重庆街娃儿刘勇敢（李九霄 饰），召集三十个兄弟，组成一支叫“码头工”的屌丝橄榄球队，一路逆袭，最终打败勇士国际联队，夺得永恒碗冠军。一群莽汉，将生活中的蝇营狗苟化为球场上的洪荒之力，在冲冲撞撞中成为真正的兄弟伙！,喜剧 / 动作,蒋佳辰,吴涛,蒋佳辰,123分钟,6.2,3.1,4407,https://www.douban.com/doubanapp/dispatch?uri=/movie/35882074
tt000202,从那不勒斯到纽约,从那不勒斯到纽约,2024,1949年，饱受战争重创的意大利城市那不勒斯，孤儿卡明和塞莱斯蒂娜相依为命。登上一艘海军舰艇，两个孩子横跨大西洋，前往纽约寻找塞莱斯蒂娜失散已久的姐姐。但是来到陌生的国度，手中的地址没能指引亲人的方向，一场新的冒险又揭开帷幕。本片以费里尼尘封的剧本为底稿，却弱化了“费里尼式”的躁动和怪诞，取而代之的是温馨质朴，仿佛一出传统的意大利三幕歌剧。导演借由两个意大利孩子的眼睛，用新现实主义笔触浸泡童话滤镜，在战后的创伤褶皱中打捞希望的光尘，引领观众穿梭回七十多年前，置身于满是瓦砾的那不勒斯、小世界般的越洋航船和充满了新世界气息的纽约。,剧情,加布里埃莱·萨尔瓦托雷斯,费德里科·费里尼 / 图里奥·皮内利 / 加布里埃莱·萨尔瓦托雷斯,加布里埃莱·萨尔瓦托雷斯,124分钟,7.4,3.7,648,https://www.douban.com/doubanapp/dispatch?uri=/movie/36433440
tt000203,密探,密探,2025,1977年，在被军事独裁统治折磨的巴西，四十多岁的马塞洛逃离了他混乱的过去，来到累西腓，希望在这里建立新的生活并与家人重修旧好。然而，他并未料到死亡威胁如影随形，笼罩在他的头顶。,剧情 / 惊悚,小克莱伯·门多萨,小克莱伯·门多萨,小克莱伯·门多萨,158分钟,7.6,3.8,377,https://www.douban.com/doubanapp/dispatch?uri=/movie/36697078
tt000204,怒水西流,怒水西流,2025,"女子神秘失踪牵扯连环血案，变态“恶鬼”隐匿20年竟在身边？
养猪场兽医于娜（陈都灵 饰）夜行失踪下落不明，线索指向20年前犯下骇人听闻连环奸杀案的“恶鬼”，惨绝人寰的割耳手段令人毛骨悚然......新的受害者也陆续出现，7条无辜性命惨遭虐杀，然而真凶却人间蒸发？当年身陷此案的警察冯泰山（宁理 饰）决心揪出“恶鬼”，并寻找兽医于娜的踪迹，其养猪场雇主闫慧茹（刘敏涛 饰）一家，大儿子张晓军（王迅 饰）与小儿子张小伟（段博文 饰）行为怪异疑点重重，每个人似乎都有着不为人知的一面，调查逐渐陷入困境。凶手隐匿，极恶滔天，然而在真相背后，隐藏着一个更加血腥残忍的黑暗秘密……",悬疑 / 犯罪,冯勇沁,冯勇沁,冯勇沁,90分钟,4.9,2.45,18379,https://www.douban.com/doubanapp/dispatch?uri=/movie/30290253
